,Name,AdjEM,AdjO,AdjD,AdjT,Luck
152,Drexel,1.52,104.5,102.9,66.4,-0.063
153,Cal St. Fullerton,1.47,104.1,102.7,66.1,0.047
154,Coastal Carolina,1.3,102.6,101.3,67.0,-0.078
155,Georgia Tech,1.2,100.4,99.2,68.0,-0.021
156,South Alabama,1.18,102.8,101.6,66.5,-0.04
157,Monmouth,1.12,102.6,101.4,66.2,0.076
158,Winthrop,0.89,105.9,105.0,68.3,0.115
159,Long Beach St.,0.77,103.3,102.6,70.9,0.109
160,New Mexico,0.73,106.6,105.9,70.9,-0.04
161,Southern Utah,0.61,106.7,106.1,68.5,0.051
162,Saint Joseph's,0.6,100.4,99.8,68.0,-0.085
163,Jacksonville,0.49,100.2,99.7,61.5,0.047
164,Oral Roberts,0.34,109.5,109.1,70.3,-0.027
165,Appalachian St.,0.26,101.0,100.8,64.5,0.015
166,Gardner Webb,0.22,96.6,96.4,67.4,-0.029
167,UTEP,0.17,100.7,100.5,66.6,0.039
168,Hawaii,0.06,101.6,101.5,65.2,-0.01
169,VMI,-0.18,110.3,110.5,68.9,-0.032
170,Tulsa,-0.27,103.6,103.9,66.5,-0.066
171,Wright St.,-0.28,106.3,106.6,68.9,0.003
172,Fordham,-0.43,94.7,95.1,67.6,0.017
173,Weber St.,-0.48,103.3,103.8,69.5,0.023
174,Georgetown,-0.48,104.9,105.4,70.1,-0.11
175,Norfolk St.,-0.49,102.1,102.6,66.8,0.128
176,UC Riverside,-0.58,100.3,100.9,65.3,0.004
177,UNC Greensboro,-0.66,100.5,101.2,62.2,0.037
178,East Carolina,-0.86,102.7,103.5,67.7,0.074
179,Portland,-0.89,102.7,103.6,69.1,0.045
180,Arkansas St.,-1.12,99.9,101.0,68.3,0.065
181,Samford,-1.12,105.0,106.1,69.1,0.162
182,Louisiana,-1.15,101.5,102.6,69.6,-0.022
183,Navy,-1.19,95.3,96.5,64.7,0.037
184,Massachusetts,-1.22,111.8,113.0,69.1,0.052
185,East Tennessee St.,-1.25,107.7,108.9,65.3,0.021
186,Texas Southern,-1.28,97.6,98.9,68.2,0.022
187,Oakland,-1.31,102.9,104.2,67.4,0.022
188,Bryant,-1.32,103.8,105.1,72.6,0.112
189,Niagara,-1.47,100.3,101.8,64.3,-0.044
190,Illinois St.,-1.5,105.0,106.5,68.0,-0.103
191,Troy,-1.59,98.7,100.3,67.0,0.082
192,Cornell,-1.62,103.4,105.0,71.7,0.041
193,Old Dominion,-1.69,100.9,102.6,64.3,-0.078
194,Pittsburgh,-1.76,99.7,101.5,64.0,0.05
195,Mercer,-1.81,105.6,107.4,64.7,0.023
196,Cleveland St.,-1.98,103.3,105.3,67.8,-0.015
197,Northern Kentucky,-2.09,100.9,103.0,64.1,-0.004
198,Dartmouth,-2.43,98.6,101.1,64.7,-0.122
199,Bellarmine,-2.48,107.9,110.4,62.0,0.113
200,Charlotte,-2.52,104.9,107.4,65.5,0.095
201,Valparaiso,-2.63,102.7,105.4,65.1,-0.024
202,Loyola Marymount,-2.71,105.8,108.5,65.9,-0.003
203,Brown,-2.75,100.3,103.0,67.3,-0.047
204,Nicholls St.,-2.79,100.8,103.6,69.8,0.021
205,Fairfield,-2.85,100.6,103.5,64.3,-0.072
206,Marist,-2.88,100.8,103.7,66.2,-0.048
207,Florida Gulf Coast,-2.96,104.4,107.4,70.2,0.072
208,UNC Asheville,-2.97,102.3,105.3,66.8,-0.036
209,South Dakota,-3.05,104.4,107.5,65.7,0.058
210,Penn,-3.34,106.2,109.5,67.6,0.031
211,Tarleton St.,-3.39,99.6,103.0,63.1,-0.037
212,Campbell,-3.46,100.7,104.2,62.4,-0.046
213,UMKC,-3.55,100.0,103.5,67.4,0.058
214,Southern,-3.63,96.7,100.3,69.9,-0.032
215,Northern Colorado,-3.82,107.7,111.5,69.6,0.1
216,Eastern Washington,-3.86,104.1,107.9,69.7,-0.0
217,Boston University,-3.99,105.4,109.4,65.1,0.043
218,Georgia,-3.99,106.7,110.6,68.6,-0.024
219,Rice,-4.15,105.6,109.7,67.5,0.01
220,UC Davis,-4.24,97.9,102.1,67.1,0.014
221,UT Arlington,-4.28,97.7,102.0,65.2,-0.027
222,Kennesaw St.,-4.32,104.7,109.0,66.2,-0.116
223,Rider,-4.4,99.2,103.6,66.9,-0.01
224,Cal Baptist,-4.41,98.8,103.2,67.4,-0.008
225,George Washington,-4.46,99.3,103.8,68.9,0.043
226,James Madison,-4.66,102.6,107.3,68.8,0.076
227,Harvard,-4.68,97.8,102.4,67.2,-0.045
228,La Salle,-4.68,98.9,103.6,67.2,-0.005
229,Indiana St.,-4.78,98.3,103.0,69.2,-0.066
230,Quinnipiac,-4.96,102.9,107.9,68.8,-0.029
231,San Diego,-5.01,96.3,101.3,65.6,0.09
232,Oregon St.,-5.36,105.4,110.8,66.6,-0.108
233,Howard,-5.45,100.3,105.7,70.4,-0.058
234,LIU,-5.51,99.7,105.2,72.4,0.033
235,Detroit Mercy,-5.57,105.6,111.2,64.9,-0.019
236,Purdue Fort Wayne,-5.67,98.6,104.3,68.4,0.077
237,Marshall,-5.74,101.2,106.9,72.3,-0.017
238,Siena,-5.77,98.1,103.9,66.3,0.111
239,UMBC,-6.01,103.8,109.8,68.3,0.044
240,The Citadel,-6.04,101.2,107.2,70.5,0.011
241,High Point,-6.16,98.4,104.5,66.5,-0.025
242,New Hampshire,-6.32,103.0,109.4,62.3,-0.022
243,Southeast Missouri St.,-6.41,104.1,110.5,71.8,-0.036
244,Texas A&M Corpus Chris,-6.55,96.6,103.2,69.4,0.028
245,Mount St. Mary's,-6.56,96.1,102.6,63.3,-0.036
246,Elon,-6.58,99.9,106.5,65.8,-0.055
247,Montana,-6.67,100.2,106.8,65.3,0.026
248,UMass Lowell,-6.7,96.2,102.9,67.5,-0.063
249,Western Illinois,-6.77,100.4,107.1,70.6,-0.012
250,Stony Brook,-6.77,104.1,110.9,68.2,0.099
251,South Florida,-6.83,90.9,97.7,65.0,-0.015
252,Georgia Southern,-7.3,96.1,103.4,66.0,0.038
253,Youngstown St.,-7.49,102.8,110.3,66.6,0.002
254,Northeastern,-7.65,97.0,104.6,64.4,-0.064
255,Portland St.,-7.69,95.7,103.4,71.0,-0.015
256,Manhattan,-7.73,100.5,108.2,68.6,0.097
257,Canisius,-7.8,97.4,105.2,68.2,0.045
258,Tennessee Tech,-7.94,99.9,107.8,69.3,-0.086
259,Eastern Kentucky,-7.95,101.2,109.2,70.9,-0.12
260,UC San Diego,-8.0,101.6,109.6,67.9,0.006
261,USC Upstate,-8.05,102.2,110.3,68.6,0.067
262,Presbyterian,-8.06,96.4,104.5,64.1,-0.044
263,Lipscomb,-8.09,102.3,110.3,69.2,0.013
264,Alcorn St.,-8.09,97.3,105.4,67.8,0.128
265,Miami OH,-8.17,103.5,111.7,67.7,-0.043
266,Ball St.,-8.39,101.4,109.8,69.9,0.021
267,Louisiana Monroe,-8.4,101.0,109.4,67.7,0.005
268,Air Force,-8.48,95.5,104.0,63.2,0.068
269,New Orleans,-8.5,97.0,105.5,72.2,0.038
270,Loyola MD,-8.58,96.4,104.9,64.6,-0.037
271,North Florida,-8.63,97.2,105.8,67.7,0.003
272,Tennessee St.,-8.63,98.0,106.6,67.5,-0.054
273,Southeastern Louisiana,-8.72,102.8,111.5,70.6,0.109
274,FIU,-8.8,97.3,106.1,66.7,0.05
275,Cal St. Bakersfield,-9.11,97.5,106.6,64.4,-0.052
276,Jackson St.,-9.2,93.3,102.5,63.7,-0.002
277,Dixie St.,-9.26,95.6,104.9,71.4,0.032
278,Pepperdine,-9.7,97.4,107.1,69.9,-0.023
279,Duquesne,-9.85,98.8,108.7,65.9,-0.047
280,Prairie View A&M,-9.94,97.1,107.0,70.3,-0.034
281,Hartford,-10.05,101.1,111.2,67.2,-0.05
282,Radford,-10.2,95.3,105.5,64.1,0.023
283,Bowling Green,-10.22,102.8,113.0,72.8,-0.011
284,North Carolina Central,-10.34,96.7,107.0,67.6,0.044
285,Albany,-10.47,92.2,102.7,65.2,0.042
286,Illinois Chicago,-10.52,99.4,109.9,69.2,0.059
287,San Jose St.,-10.62,98.9,109.5,65.4,-0.007
288,North Carolina A&T,-10.76,96.8,107.6,67.4,0.023
289,Binghamton,-10.76,94.9,105.6,67.1,-0.004
290,Austin Peay,-10.83,94.8,105.6,64.6,0.066
291,Morgan St.,-10.97,94.4,105.4,71.9,-0.021
292,Pacific,-10.97,95.0,106.0,68.2,-0.048
293,Denver,-11.08,99.8,110.9,66.4,-0.046
294,Army,-11.12,96.5,107.6,68.8,0.025
295,Western Carolina,-11.29,99.0,110.3,68.2,0.074
296,Northern Illinois,-11.34,92.8,104.1,67.0,0.001
297,SIU Edwardsville,-11.47,94.0,105.5,68.5,-0.024
298,Merrimack,-11.55,94.2,105.7,62.2,0.06
299,Coppin St.,-11.71,92.0,103.7,72.2,-0.017
300,UT Rio Grande Valley,-11.8,99.9,111.7,71.8,-0.071
301,Lehigh,-12.07,98.1,110.2,68.1,-0.015
302,Grambling St.,-12.31,93.7,106.0,69.3,0.034
303,Stetson,-12.44,96.6,109.0,65.7,-0.009
304,St. Thomas,-12.51,106.6,119.1,65.3,-0.084
305,South Carolina St.,-12.56,93.3,105.8,70.0,0.074
306,Tennessee Martin,-12.64,96.0,108.7,68.9,-0.041
307,Cal Poly,-12.72,93.0,105.8,64.6,-0.034
308,Florida A&M,-12.73,94.9,107.6,65.5,0.097
309,McNeese St.,-12.97,97.7,110.7,69.6,-0.042
310,Alabama St.,-13.19,97.1,110.3,69.4,-0.002
311,UTSA,-13.2,94.3,107.5,68.7,-0.02
312,Maryland Eastern Shore,-13.21,89.7,102.9,67.9,0.021
313,Alabama A&M,-13.5,87.3,100.8,66.6,0.034
314,North Alabama,-13.57,90.2,103.8,67.7,-0.064
315,Eastern Michigan,-13.6,93.7,107.4,69.2,0.025
316,Sacramento St.,-13.72,95.1,108.8,64.3,0.008
317,Central Michigan,-13.77,96.2,110.0,67.5,-0.001
318,Central Arkansas,-14.14,98.7,112.9,71.9,0.098
319,Sacred Heart,-14.17,101.3,115.5,67.4,-0.027
320,Evansville,-14.19,92.6,106.8,64.1,-0.065
321,St. Francis NY,-14.21,94.7,108.9,66.6,-0.037
322,Lafayette,-14.41,97.1,111.5,64.8,-0.041
323,Idaho,-14.6,99.2,113.8,70.0,-0.028
324,St. Francis PA,-14.61,95.1,109.7,67.3,-0.075
325,Hampton,-15.02,90.6,105.6,69.1,0.07
326,Robert Morris,-15.16,98.4,113.6,66.7,-0.067
327,Little Rock,-15.18,96.9,112.1,66.7,0.075
328,Western Michigan,-15.21,96.9,112.1,64.0,-0.024
329,Northwestern St.,-15.42,98.4,113.8,71.2,-0.06
330,American,-16.2,94.4,110.6,64.9,0.003
331,Cal St. Northridge,-16.2,93.9,110.2,64.9,0.029
332,Bethune Cookman,-16.68,93.1,109.8,65.8,0.039
333,Northern Arizona,-16.91,95.5,112.4,65.1,0.007
334,Milwaukee,-17.04,91.7,108.8,66.8,-0.047
335,Bucknell,-17.09,99.9,117.0,67.7,0.039
336,Houston Baptist,-17.14,95.2,112.3,68.8,-0.002
337,William & Mary,-17.33,90.2,107.5,68.8,0.015
338,Idaho St.,-17.54,93.9,111.4,63.9,-0.038
339,Chicago St.,-17.64,95.5,113.1,65.6,0.04
340,Southern Miss,-17.85,94.0,111.8,67.1,0.034
341,NJIT,-18.31,89.4,107.7,66.0,0.092
342,Green Bay,-18.52,91.9,110.4,64.7,-0.116
343,Nebraska Omaha,-18.66,97.8,116.4,69.9,-0.055
344,Fairleigh Dickinson,-19.7,94.8,114.5,69.6,-0.051
345,Central Connecticut,-19.71,91.5,111.2,64.6,0.032
346,Charleston Southern,-19.94,92.3,112.2,68.9,-0.002
347,North Dakota,-19.95,96.6,116.5,67.4,-0.02
348,Holy Cross,-20.07,91.2,111.3,67.1,0.059
349,Lamar,-20.15,92.0,112.2,66.1,-0.065
350,Columbia,-21.02,93.2,114.2,69.5,-0.004
351,Arkansas Pine Bluff,-21.52,97.8,119.3,67.1,0.009
352,Incarnate Word,-21.92,94.8,116.7,64.6,-0.008
353,Maine,-22.06,92.2,114.3,66.2,-0.048
354,Mississippi Valley St.,-22.53,92.7,115.3,70.8,-0.1
355,Delaware St.,-24.29,86.2,110.5,68.4,-0.118
356,Eastern Illinois,-25.72,83.2,108.9,64.7,-0.0
357,IUPUI,-31.57,79.4,110.9,62.3,-0.055
